variable,min,p01,median,mean,p99,max,std,n
raw SCI,48.0,138.0,1448.0,39454.89717618171,544253.8499999968,37967668.0,565007.6654374875,32580
log10(raw SCI + 1),1.6901960800285136,2.143014800254095,3.1610683854711747,3.320911313246361,5.735800660677421,7.579413934734934,0.7690030641348177,32580
min-max normalized SCI,-1.0,-0.9999952591181643,-0.9999262529492235,-0.9979241839664335,-0.9713331596765877,1.0,0.029762606422919717,32580
