total_migrants,n_routes,n_origins,cross_entropy_bits,full_multinomial_bits,cross_entropy_bits_per_migrant,full_multinomial_bits_per_migrant,model,label,sigma,model_choice_bits,sigma_choice_bits,minimal_model_bits,strict_sigma_matrix_bits_16,total_bits_minimal,total_bits_strict16,delta_cross_entropy_bits_vs_RM,bits_saved_cross_entropy_bits_vs_RM,delta_full_multinomial_bits_vs_RM,bits_saved_full_multinomial_bits_vs_RM,delta_total_bits_minimal_vs_RM,bits_saved_total_bits_minimal_vs_RM,delta_total_bits_strict16_vs_RM,bits_saved_total_bits_strict16_vs_RM,bits_saved_per_migrant_minimal_vs_RM,bits_saved_per_migrant_strict16_vs_RM
6186048.0,2070,46,35657101.03806823,16872602.907309055,5.764116450125869,2.7275253776415984,combined_additive,Combined FERM: GDP + SCI additive,5.0,2.584962500721156,2.321928094887362,4.906890595608518,33856.0,16872607.814199653,16906463.814199653,-9696612.780141145,9696612.780141145,-9696612.780141145,9696612.780141145,-9696607.873250548,9696607.873250548,-9662751.873250548,9662751.873250548,1.567496384323327,1.5620234232341146
6186048.0,2070,46,38923860.76227811,20139362.63151894,6.292201541643083,3.255610469158814,combined_euclidean,Combined FERM: GDP + SCI signed Euclidean,8.0,2.584962500721156,2.321928094887362,4.906890595608518,33856.0,20139367.53840954,20173223.53840954,-6429853.055931263,6429853.055931263,-6429853.055931259,6429853.055931259,-6429848.149040662,6429848.149040662,-6395992.149040662,6395992.149040662,1.0394112928061117,1.0339383317168993
6186048.0,2070,46,39094475.57866016,20309977.447900992,6.319782125625304,3.2831910531410347,combined_additive_rescaled,"Combined FERM: GDP + SCI additive, offdiag rescaled",5.0,2.584962500721156,2.321928094887362,4.906890595608518,33856.0,20309982.35479159,20343838.35479159,-6259238.239549212,6259238.239549212,-6259238.239549208,6259238.239549208,-6259233.332658611,6259233.332658611,-6225377.332658611,6225377.332658611,1.0118307088238907,1.0063577477346783
6186048.0,2070,46,40426785.65080978,21642287.52005061,6.53515550652206,3.4985644340377915,gdp_only,Traditional FERM: GDP only,8.0,2.584962500721156,2.321928094887362,4.906890595608518,33856.0,21642292.42694121,21676148.42694121,-4926928.167399593,4926928.167399593,-4926928.167399589,4926928.167399589,-4926923.260508992,4926923.260508992,-4893067.260508992,4893067.260508992,0.7964573279271341,0.7909843668379217
6186048.0,2070,46,41321257.50610135,22536759.375342175,6.679750546083921,3.6431594735996513,sci_only,Relational FERM: SCI only,5.0,2.584962500721156,2.321928094887362,4.906890595608518,33856.0,22536764.282232773,22570620.282232773,-4032456.312108025,4032456.312108025,-4032456.312108025,4032456.312108025,-4032451.4052174278,4032451.4052174278,-3998595.4052174278,3998595.4052174278,0.6518622883652742,0.6463893272760618
6186048.0,2070,46,45353713.81820937,26569215.6874502,7.331613627668161,4.295022555183891,rm,RM,,0.0,0.0,0.0,0.0,26569215.6874502,26569215.6874502,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0
