model,family,sigma,pairs,observed_total,predicted_total,MAE,RMSE,Pearson_log,Spearman_log,R2_log,Median_abs_log_ratio,Mean_abs_log_ratio,zero_pred_share,zero_pred_observed_total,median_improvement_abs_log,mean_improvement_abs_log,share_better_abs_log,R2_log_gain_vs_RM,R2_log_model,R2_log_RM,p10_improvement_abs_log,p90_improvement_abs_log,label,alpha_gdp
combined_additive,combined,5.0,2070,5751056.0,5751056.0,3749.8375211840103,15059.730363947632,0.7233267246181166,0.7225444614502597,-0.03276017944990506,0.7783958608619137,0.8399466216785428,0.10289855072463767,6375.0,0.1058294838148571,0.1975189399294626,0.6135265700483091,0.5034053165815209,-0.03276017944990506,-0.5361654960314259,-0.45381852453345994,0.9809321226506064,Combined FERM: GDP + SCI additive,
combined_linear_weighted,combined,5.0,2070,5751056.0,5751056.0,3745.5132544152807,14863.091544538413,0.7145709382103874,0.7138772648315673,-0.1752560976916746,0.8264555611677624,0.8977811881060949,0.13140096618357489,10461.0,0.06646759562557064,0.13968437350191057,0.5768115942028985,0.36090939833975133,-0.1752560976916746,-0.5361654960314259,-0.3566188810320024,0.7551577190596699,Combined FERM: GDP + SCI weighted linear,0.75
combined_euclidean,combined,8.0,2070,5751056.0,5751056.0,3755.0499360582057,15155.533159003588,0.710976925831776,0.7094757223479986,-0.21010891752834482,0.8450980400142568,0.9127258041887617,0.14106280193236714,13922.0,0.053121758570978866,0.12473975741924385,0.5811594202898551,0.3260565785030811,-0.21010891752834482,-0.5361654960314259,-0.30815786481194046,0.684611150620165,Combined FERM: GDP + SCI signed Euclidean,
combined_additive_rescaled,combined,8.0,2070,5751056.0,5751056.0,3882.489911473882,15931.972027530814,0.7114231281989037,0.7095877437909164,-0.2590302797393773,0.8895865670059486,0.9363738653353667,0.14879227053140096,11295.0,0.045470062399767475,0.1010916962726387,0.5700483091787439,0.2771352162920486,-0.2590302797393773,-0.5361654960314259,-0.30526312322906946,0.5674300843971432,"Combined FERM: GDP + SCI additive, offdiag rescaled",
gdp_only,traditional,8.0,2070,5751056.0,5751056.0,3840.798562210236,15609.267456981395,0.706472986140874,0.7054248199556734,-0.25864372330038776,0.8744371018999162,0.9310376074888806,0.14444444444444443,10844.0,0.040269764518554185,0.10642795411912483,0.5690821256038647,0.2775217727310382,-0.25864372330038776,-0.5361654960314259,-0.25979556498410583,0.5596156833208162,Traditional FERM: GDP only,
sci_only,relational,5.0,2070,5751056.0,5751056.0,3850.208105780154,16189.575939309143,0.6740113760308101,0.6624783948709251,-0.342650051341445,0.9401530016467416,0.9703299388869809,0.15555555555555556,23783.0,0.029867239723464334,0.06713562272102444,0.5719806763285025,0.19351544468998094,-0.342650051341445,-0.5361654960314259,-0.27333306282913633,0.425558132620312,Relational FERM: SCI only,
