country_from,country_to,num_migrants,country_from_name,country_to_name,predicted_migrants,residual,signed_error,abs_error,log_observed,log_predicted,log_ratio,abs_log_ratio
AFG,ARE,5276.0,Afghanistan,United Arab Emirates,4.181128374636089,-5271.8188716253635,-5271.8188716253635,5271.8188716253635,3.7223870941771238,0.7144243530872304,-3.007962741089893,3.007962741089893
AFG,ARM,2.0,Afghanistan,Armenia,1.2113426067148618,-0.7886573932851382,-0.7886573932851382,0.7886573932851382,0.47712125471966244,0.3446560337043717,-0.1324652210152908,0.1324652210152908
AFG,AZE,147.0,Afghanistan,Azerbaijan,4.200430753514207,-142.7995692464858,-142.7995692464858,142.7995692464858,2.1702617153949575,0.7160393178898702,-1.4542223975050872,1.4542223975050872
AFG,BGD,93.0,Afghanistan,Bangladesh,59.531537245441136,-33.468462754558864,-33.468462754558864,33.468462754558864,1.9731278535996986,1.7819817032985592,-0.19114615030113943,0.19114615030113943
AFG,BHR,29.0,Afghanistan,Bahrain,0.6165439677011867,-28.383456032298813,-28.383456032298813,28.383456032298813,1.4771212547196624,0.20858752130162841,-1.268533733418034,1.268533733418034
AFG,BRN,21.0,Afghanistan,Brunei,0.08096774410492127,-20.91903225589508,-20.91903225589508,20.91903225589508,1.3424226808222062,0.03381273487260177,-1.3086099459496046,1.3086099459496046
AFG,BTN,13.0,Afghanistan,Bhutan,0.3164908758763766,-12.683509124123624,-12.683509124123624,12.683509124123624,1.146128035678238,0.1194178535140404,-1.0267101821641977,1.0267101821641977
AFG,CYP,10.0,Afghanistan,Cyprus,0.3888765151809253,-9.611123484819075,-9.611123484819075,9.611123484819075,1.0413926851582251,0.14266363439167185,-0.8987290507665533,0.8987290507665533
AFG,GEO,38.0,Afghanistan,Georgia,1.513196507244116,-36.48680349275588,-36.48680349275588,36.48680349275588,1.591064607026499,0.4002264474764732,-1.1908381595500261,1.1908381595500261
AFG,HKG,26.0,Afghanistan,Hong Kong S.A.R.,1.730506261078695,-24.269493738921305,-24.269493738921305,24.269493738921305,1.4313637641589874,0.4362431767143787,-0.9951205874446086,0.9951205874446086
AFG,IDN,65.0,Afghanistan,Indonesia,45.15314247726675,-19.846857522733252,-19.846857522733252,19.846857522733252,1.8195439355418688,1.6642012766311283,-0.15534265891074034,0.15534265891074034
AFG,IND,2433.0,Afghanistan,India,15470.718413462235,13037.718413462235,13037.718413462235,13037.718413462235,3.386320573894046,4.189538552615841,0.8032179787217947,0.8032179787217947
